Actor,Scen 1,Scen 2,Mean 1,Mean 2,Var 1,Var 2,Obs,df,F,P one-tail,F crit,alpha,Equal vars?,t Stat,P two-tail,t crit, Sig diff?,Diff
Attacker,A,B,5.473506936168566,6.06759601206557,23.515138928072933,34.62744291486278,30,29,0.6790896742184729,0.15152290548212435,0.5373999648406917,0.05,FALSE,-0.4267416553928619,0.6712049356557381,2.0017174830120923,FALSE,-0.5940890758970037
Attacker,A,C,5.473506936168566,7.431752659470688,23.515138928072933,58.67026577200222,30,29,0.4008016431944389,0.008188358413386715,0.5373999648406917,0.05,FALSE,-1.1831245471259009,0.2424650776385962,2.0017174830120923,FALSE,-1.958245723302122
Attacker,A,D,5.473506936168566,2.6057949115593106,23.515138928072933,7.773587494928107,30,29,3.0250047283079313,0.9980420517532338,0.5373999648406917,0.05,FALSE,2.808033093290253,0.007274515910889109,2.0017174830120923,TRUE,2.8677120246092556
Attacker,A,E,5.473506936168566,4.150738073639686,23.515138928072933,16.687971121518455,30,29,1.4091071201430307,0.8194586491995712,0.5373999648406917,0.05,FALSE,1.142654055152919,0.25801197286504796,2.0017174830120923,FALSE,1.3227688625288803
Attacker,A,F,5.473506936168566,0.529202583817578,23.515138928072933,2.4929075933465334,30,29,9.432816118348654,0.9999999809557717,0.5373999648406917,0.05,FALSE,5.310213189691896,6.231323155198016e-06,2.0017174830120923,TRUE,4.944304352350988
Attacker,B,C,6.06759601206557,7.431752659470688,34.62744291486278,58.67026577200222,30,29,0.5902042961493996,0.08081351989118808,0.5373999648406917,0.05,FALSE,-0.7735517661059019,0.44254523814950875,2.0017174830120923,FALSE,-1.3641566474051183
Attacker,B,D,6.06759601206557,2.6057949115593106,34.62744291486278,7.773587494928107,30,29,4.454499667940385,0.9999343951504642,0.5373999648406917,0.05,FALSE,2.9118871079569937,0.005764566624982235,2.0017174830120923,TRUE,3.461801100506259
Attacker,B,E,6.06759601206557,4.150738073639686,34.62744291486278,16.687971121518455,30,29,2.0749941777051686,0.973058948279951,0.5373999648406917,0.05,FALSE,1.465637729751036,0.148804733727445,2.0017174830120923,FALSE,1.916857938425884
Attacker,B,F,6.06759601206557,0.529202583817578,34.62744291486278,2.4929075933465334,30,29,13.8903836657572,0.9999999998381953,0.5373999648406917,0.05,FALSE,4.978957239290012,1.9410690253329136e-05,2.0017174830120923,TRUE,5.538393428247992
Attacker,C,D,7.431752659470688,2.6057949115593106,58.67026577200222,7.773587494928107,30,29,7.547386044124639,0.9999997446736751,0.5373999648406917,0.05,FALSE,3.242774411626482,0.0025293458503654123,2.0017174830120923,TRUE,4.825957747911378
Attacker,C,E,7.431752659470688,4.150738073639686,58.67026577200222,16.687971121518455,30,29,3.515721913992847,0.9994338603902423,0.5373999648406917,0.05,FALSE,2.0701576695485366,0.04430272820014352,2.0017174830120923,TRUE,3.2810145858310023
Attacker,C,F,7.431752659470688,0.529202583817578,58.67026577200222,2.4929075933465334,30,29,23.534873867202585,0.9999999999998355,0.5373999648406917,0.05,FALSE,4.834206392311254,3.340171148989831e-05,2.0017174830120923,TRUE,6.90255007565311
Attacker,D,E,2.6057949115593106,4.150738073639686,7.773587494928107,16.687971121518455,30,29,0.4658198074722448,0.021923100547620457,0.5373999648406917,0.05,FALSE,-1.7109253894783036,0.0931479725584689,2.0017174830120923,FALSE,-1.5449431620803753
Attacker,D,F,2.6057949115593106,0.529202583817578,7.773587494928107,2.4929075933465334,30,29,3.118281446001243,0.9984631501279486,0.5373999648406917,0.05,FALSE,3.5497745434779833,0.0009037272392815528,2.0017174830120923,TRUE,2.0765923277417326
Attacker,E,F,4.150738073639686,0.529202583817578,16.687971121518455,2.4929075933465334,30,29,6.694179586141883,0.9999990237812761,0.5373999648406917,0.05,FALSE,4.529175227481918,5.8470356682610376e-05,2.0017174830120923,TRUE,3.621535489822108
Defender,A,B,0.4186666666666667,0.213,0.006456850574712644,0.003893793103448275,30,29,1.658241823119613,0.910376488588699,0.5373999648406917,0.05,FALSE,11.072376822554542,1.3968511637502252e-15,2.0017174830120923,TRUE,0.2056666666666667
Defender,A,C,0.4186666666666667,0.15233333333333332,0.006456850574712644,0.002650574712643678,30,29,2.43601908065915,0.990346266396518,0.5373999648406917,0.05,FALSE,15.285805997338688,2.352394007080164e-20,2.0017174830120923,TRUE,0.26633333333333337
Defender,A,D,0.4186666666666667,0.20433333333333337,0.006456850574712644,0.0029498850574712645,30,29,2.1888481920199503,0.9805657502174844,0.5373999648406917,0.05,FALSE,12.104054659123193,1.3313163045644447e-16,2.0017174830120923,TRUE,0.21433333333333332
Defender,A,E,0.4186666666666667,0.499,0.006456850574712644,0.01603448275862069,30,29,0.4026853046594982,0.008458839173120632,0.5373999648406917,0.05,FALSE,-2.9339236921431215,0.005076256724785216,2.0017174830120923,TRUE,-0.08033333333333331
Defender,A,F,0.4186666666666667,0.27799999999999997,0.006456850574712644,0.004092413793103449,30,29,1.5777609257386809,0.8872689495372141,0.5373999648406917,0.05,FALSE,7.501372561865116,5.559283187985959e-10,2.0017174830120923,TRUE,0.14066666666666672
Defender,B,C,0.213,0.15233333333333332,0.003893793103448275,0.002650574712643678,30,29,1.4690372940156111,0.8469852760939056,0.5373999648406917,0.05,FALSE,4.107493742849541,0.00013161611306072355,2.0017174830120923,TRUE,0.060666666666666674
Defender,B,D,0.213,0.20433333333333337,0.003893793103448275,0.0029498850574712645,30,29,1.3199812967581044,0.7703253281479048,0.5373999648406917,0.05,FALSE,0.5738097610893305,0.5683571810678849,2.0017174830120923,FALSE,0.008666666666666628
Defender,B,E,0.213,0.499,0.003893793103448275,0.01603448275862069,30,29,0.2428387096774193,0.00013768095101500272,0.5373999648406917,0.05,FALSE,-11.096647678510692,4.169374774380441e-14,2.0017174830120923,TRUE,-0.28600000000000003
Defender,B,F,0.213,0.27799999999999997,0.003893793103448275,0.004092413793103449,30,29,0.9514661274014152,0.44717468333818283,0.5373999648406917,0.05,FALSE,-3.9838566728281397,0.00019177919313007814,2.0017174830120923,TRUE,-0.06499999999999997
Defender,C,D,0.15233333333333332,0.20433333333333337,0.002650574712643678,0.0029498850574712645,30,29,0.8985349127182045,0.3876156593328775,0.5373999648406917,0.05,FALSE,-3.8058540539598615,0.00034349581627161235,2.0017174830120923,TRUE,-0.052000000000000046
Defender,C,E,0.15233333333333332,0.499,0.002650574712643678,0.01603448275862069,30,29,0.16530465949820788,2.9287347981356378e-06,0.5373999648406917,0.05,FALSE,-13.89074353321347,1.5265786693912723e-16,2.0017174830120923,TRUE,-0.3466666666666667
Defender,C,F,0.15233333333333332,0.27799999999999997,0.002650574712643678,0.004092413793103449,30,29,0.6476800359510166,0.12403728834211539,0.5373999648406917,0.05,FALSE,-8.382132336492758,1.9605923290188222e-11,2.0017174830120923,TRUE,-0.12566666666666665
Defender,D,E,0.20433333333333337,0.499,0.0029498850574712645,0.01603448275862069,30,29,0.18397132616487455,9.017587225723197e-06,0.5373999648406917,0.05,FALSE,-11.713685725096486,2.1433277611192866e-14,2.0017174830120923,TRUE,-0.29466666666666663
Defender,D,F,0.20433333333333337,0.27799999999999997,0.0029498850574712645,0.004092413793103449,30,29,0.7208178856308279,0.19160960472635813,0.5373999648406917,0.05,FALSE,-4.808110286620082,1.168366372204639e-05,2.0017174830120923,TRUE,-0.0736666666666666
Defender,E,F,0.499,0.27799999999999997,0.01603448275862069,0.004092413793103449,30,29,3.918099089989888,0.9997826848845267,0.5373999648406917,0.05,FALSE,8.532268109676039,8.633198159839931e-11,2.0017174830120923,TRUE,0.22100000000000003
